Year,County,Retail_sum,Index_Total_sum,Violent_Total_sum,Murder_sum,Rape_sum,Robbery_sum,Aggravated_Assault_sum,Property_Total_sum,Burglary_sum,Larceny_sum,Motor_Vehicle_Theft_sum,Region,Crime_Rate_Change,FFR,Population_Estimate,FFRPopulation,Crimepopulation,retailpop
2016,Monroe,713,37530,4964,90,538,1704,2632,32566,5160,25472,1934,Non-New York City,Decrease,561,743531,1325,20,1042.820476858345
2016,Montgomery,86,2048,166,2,58,28,78,1882,306,1540,36,Non-New York City,Decrease,34,49206,1447,24,572.1627906976744
2016,Nassau,1143,30556,3652,40,124,1468,2020,26904,2966,22556,1382,Non-New York City,Decrease,1292,1356463,1050,44,1186.7567804024497
2016,New York,1891,46653,8839,41,494,2929,5375,37814,2206,34867,741,New York City,Decrease,2622,1636261,624,35,865.2887361184559
2016,Niagara,243,12290,1700,8,136,560,996,10590,2122,7824,644,Non-New York City,Decrease,138,211534,1533,17,870.5102880658436
2016,Oneida,316,10464,1320,8,320,282,710,9144,1708,7130,306,Non-New York City,Decrease,150,230348,1536,22,728.9493670886076
2016,Onondaga,532,22232,2830,68,312,796,1654,19402,3368,15010,1024,Non-New York City,Decrease,415,464033,1118,21,872.2424812030075
2016,Ontario,129,3732,328,2,156,36,134,3404,606,2730,68,Non-New York City,Decrease,94,109267,1162,29,847.031007751938
2016,Orange,429,14622,1808,22,264,468,1054,12814,1548,10872,394,Non-New York City,Decrease,306,378047,1235,26,881.2284382284382
2016,Orleans,51,1498,156,0,48,14,94,1342,286,998,58,Non-New York City,Decrease,15,41196,2746,28,807.7647058823529
2016,Oswego,122,4628,530,0,242,44,244,4098,922,3036,140,Non-New York City,Decrease,84,118881,1415,26,974.4344262295082
2016,Otsego,98,1558,180,0,70,20,90,1378,226,1128,24,Non-New York City,Decrease,35,60119,1718,39,613.4591836734694
2016,Putnam,91,1206,74,0,20,12,42,1132,172,912,48,Non-New York City,Decrease,79,98812,1251,82,1085.8461538461538
2016,Queens,2535,33800,9356,47,486,2989,5834,24444,3056,19455,1933,New York City,Decrease,1966,2309032,1174,68,910.8607495069034
2016,Rensselaer,199,7316,944,8,126,228,582,6372,1226,4840,306,Non-New York City,Decrease,109,159334,1462,22,800.6733668341709
